settings,الاختبار النهائي,,45,minutes,,0,60,40,,single_question,rand,,200
question,علامة رفع الفعل المضارع,<p><br data-mce-bogus=1></p>,single_choice,2.5,1,1,1
answer,الضمة,text,1,0,,1,
answer,الفتحة,text,0,0,,2,
answer,الكسرة,text,0,0,,3,
answer,السكون,text,0,0,,4,
question,علامة بناء الفعل الماضي إذا لم يتصل به شيء,<p><br data-mce-bogus=1></p>,single_choice,2.5,2,1,1
answer,السكون,text,0,0,,1,
answer,الفتحة,text,1,0,,2,
answer,السكون الضمة,text,0,0,,3,
question,علامة نصب الفعل المضارع إذا كان من الأفعال الخمسة,<p><br data-mce-bogus=1></p>,single_choice,2.5,3,1,1
answer,ثبوت النون,text,0,0,,1,
answer,حذف النون,text,1,0,,2,
answer,الضمة,text,0,0,,3,
answer,الفتحة,text,0,0,,4,
question,علامة جزم الفعل المضارع إذا كان من الأفعال الخمسة,<p><br data-mce-bogus=1></p>,single_choice,2.5,4,1,1
answer,ثبوت النون,text,0,0,,1,
answer,حذف النون,text,1,0,,2,
answer,الضمة,text,0,0,,3,
answer,السكون,text,0,0,,4,
question,علامة الفعل الماضي إذا اتصلت به نون النسوة,<p><br data-mce-bogus=1></p>,single_choice,2.5,5,1,1
answer,السكون,text,1,0,,1,
answer,حذف النون,text,0,0,,2,
answer,ثبوت النون,text,0,0,,3,
answer,الفتحة,text,0,0,,4,
question,إذا جاء المبتدأ في اول الكلام ولم يسبق بشيء يكون,<p><br data-mce-bogus=1></p>,single_choice,2.5,6,1,1
answer,مرفوعا,text,1,0,,1,
answer,منصوبا,text,0,0,,2,
answer,مجزوما,text,0,0,,3,
answer,مجرورا,text,0,0,,4,
question,علامة الفاعل إذا كان اسما ظاهرا (صريحا),<p><br data-mce-bogus=1></p>,single_choice,2.5,7,1,1
answer,الفتحة,text,0,0,,1,
answer,الضمة,text,1,0,,2,
answer,السكون,text,0,0,,3,
answer,الكسرة,text,0,0,,4,
question,من أقسام الكلمة,<p><br data-mce-bogus=1></p>,single_choice,2.5,8,1,1
answer,الاسم,text,1,0,,1,
answer,الفتحة,text,0,0,,2,
answer,الكسرة,text,0,0,,3,
answer,الضمة,text,0,0,,4,
question,تعريف الفعل,<p><br data-mce-bogus=1></p>,single_choice,2.5,9,1,1
answer,هو الذي لا يرتبط,text,0,0,,1,
answer,بزمن وحركة,text,0,0,,2,
answer,هو الذي يرتبط بالحدث والحركة,text,1,0,,3,
answer,هو الذي يكون مجرورا,text,0,0,,4,
answer,هو الذي يكون منصوبا,text,0,0,,5,
question,تعريف الحرف,<p><br data-mce-bogus=1></p>,single_choice,2.5,10,1,1
answer,هو الذي يعرف معناه بنفسه,text,0,0,,1,
answer,هو الذي لا يعرف معناه إلا إذا ارتبط بغيره,text,1,0,,2,
answer,هو الذي يكون من جنس الاسم,text,0,0,,3,
answer,هو الذي يكون مرفوعا,text,0,0,,4,
question,تتألف الجملة في اللغة العربية,<p><br data-mce-bogus=1></p>,single_choice,2.5,11,1,1
answer,من فعل وفاعل,text,1,0,,1,
answer,من فاعل فقط,text,0,0,,2,
